l_R,d_R,k_d,CT,CT_ratio
0.3,0.7100000000000004,4.722238456742566,0.0084230223301962,1.1029422449186221
0.3,0.7200000000000004,4.722238456742566,0.008410484958201,1.1013005542437448
0.3,0.7300000000000004,4.722238456742566,0.0083982297363863,1.0996958093754066
0.3,0.7400000000000004,4.722238456742566,0.0083863057222649,1.098134434088967
0.3,0.7500000000000004,4.722238456742566,0.0083746702664108,1.0966108437080693
0.3,0.7600000000000005,4.722238456742566,0.0083633121899981,1.0951235744351777
0.3,0.7700000000000005,4.722238456742566,0.0083522208818433,1.0936712368019883
0.3,0.7800000000000005,4.722238456742566,0.0083413549060795,1.0922484050401404
0.3,0.7900000000000005,4.722238456742566,0.0083307676259881,1.0908620667385394
0.3,0.8000000000000005,4.722238456742566,0.0083204183810279,1.08950689765289
0.3,0.8100000000000005,4.722238456742566,0.0083102985208643,1.0881817650758234
0.3,0.8200000000000005,4.722238456742566,0.0083003674333298,1.0868813510972783
0.3,0.8300000000000005,4.722238456742566,0.0082906822262436,1.0856131336300328
0.3,0.8400000000000005,4.722238456742566,0.0082812028601066,1.0843718697513811
0.3,0.8500000000000005,4.722238456742566,0.0082719222205512,1.0831566278792542
0.3,0.8600000000000005,4.722238456742566,0.0082628335188239,1.0819665190687187
0.3,0.8700000000000006,4.722238456742566,0.0082539302756365,1.0808006948973918
0.3,0.8800000000000006,4.722238456742566,0.0082451731869222,1.079654008742842
0.3,0.8900000000000006,4.722238456742566,0.0082366227705042,1.078534385036604
0.3,0.9000000000000006,4.722238456742566,0.0082282400742084,1.0774367232344009
0.3,0.9100000000000006,4.722238456742566,0.0082200197113916,1.0763603179888988
0.3,0.9200000000000006,4.722238456742566,0.0082119565230746,1.0753044937639442
0.3,0.9300000000000006,4.722238456742566,0.0082040113936748,1.074264128617936
0.3,0.9400000000000006,4.722238456742566,0.0081962481241244,1.0732475768850585
0.3,0.9500000000000006,4.722238456742566,0.0081886278410047,1.0722497483335627
0.3,0.9600000000000006,4.722238456742566,0.0081811462104322,1.0712700754684317
0.3,0.9700000000000006,4.722238456742566,0.0081737990781063,1.07030801430991
0.3,0.9800000000000006,4.722238456742566,0.0081665824626071,1.0693630435158914
0.3,0.9900000000000008,4.722238456742566,0.0081594573482785,1.0684300542295262
0.3,1.0000000000000009,4.722238456742566,0.0081524906249584,1.0675178052579364
0.3,1.010000000000001,4.722238456742566,0.0081456434172571,1.0666212061112832
0.3,1.020000000000001,4.722238456742566,0.0081389123463007,1.0657398143471009
0.3,1.0300000000000007,4.722238456742566,0.0081322941708889,1.0648732055504238
0.3,1.0400000000000007,4.722238456742566,0.0081257857744907,1.0640209716309534
0.3,1.0500000000000007,4.722238456742566,0.0081193477972676,1.063177958663301
0.3,1.0600000000000007,4.722238456742566,0.008113050234573,1.0623533321024763
0.3,1.0700000000000007,4.722238456742566,0.0081068538012203,1.0615419477982921
0.3,1.0800000000000007,4.722238456742566,0.008100755834074,1.0607434570297625
0.3,1.0900000000000007,4.722238456742566,0.0080947537674977,1.0599575238428014
0.3,1.1000000000000008,4.722238456742566,0.0080888451312585,1.0591838247758159
0.3,1.1100000000000008,4.722238456742566,0.0080829898639971,1.0584171140436438
0.3,1.1200000000000008,4.722238456742566,0.0080772611741027,1.0576669778282948
0.3,1.1300000000000008,4.722238456742566,0.0080716190312375,1.0569281744066792
0.3,1.1400000000000008,4.722238456742566,0.008066061306402,1.056200424999589
0.3,1.1500000000000008,4.722238456742566,0.0080605859458222,1.0554834606781278
0.3,1.1600000000000008,4.722238456742566,0.0080551909682724,1.0547770220131452
